Role,Location,Min Salary,Max Salary,Recruiter,Salary_Text,Description
"Lead Veterinary Surgeon - Long Sutton, Lincolnshire","Long Sutton, Lincolnshire",60000,75000,Medivet,"Salary of £60,000 - £75,000 Per Year","Lead veterinary surgeon, established support team, opportunity to take next step."
"Veterinary Surgeon - Hellesdon, Norwich","Hellesdon, Norwich",40000,72000,Medivet,"Salary of £40,000 - £72,000 Per Year (Pro-Rata)","Veterinary surgeon role, recently refurbished practice, great support team."
"Veterinary Surgeon - South Wooton, Norfolk","South Wootton, King's Lynn",40000,72000,Medivet,"Salary of £40,000 - £72,000 Per Year","Vet surgeon role, stablished team, good client base."
"Veterinary Surgeon - Thorpe St.Andrew, Norwich","Norwich, Norfolk",4000,72000,Medivet,"Salary of £40,00 - £72,000 Per Year","Veterinary surgeon role, great team, practice refurb starting soon."
Veterinary Surgeon,"Crewe, Cheshire",75000,75000,Pool Farm Veterinary Surgery,"Salary up to £75,000 depending on experience","Here at Pool Farm Vets, we are looking for a small animal Veterinary Surgeon to join our friendly and supportive team."
Veterinary Surgeon,"Eccleshill, Bradford",70000,70000,"White Cross Vets, Eccleshill","Salary up to £70,000 depending on experience","We are looking for a Veterinary Surgeon to join our lovely team here at White Cross Vets, Eccleshill."
Veterinary Surgeon,"Newark, Nottinghamshire",70000,70000,Companion Veterinary Clinic,"Salary up to £70,000 depending on experience",We have an excellent opportunity for a Small Animal Vet to join our fantastic team!
Veterinary Surgeon,"Brayton, Selby",75000,75000,Holmefield Veterinary Clinic Ltd,"Salary of up to £75,000 dependent on experience",Holmefield Vets in North Yorkshire have an exciting opportunity for a Vet Surgeon to join their friendly well established team.
Night Veterinary Surgeon,"Cheltenham, Gloucestershire",70000,70000,Dragon Vets,"Salary up to £70,000 depending on experience",Chelvets provides night cover for Dragon Vets (based on Cheltenham Racecourse) and several other practices in Gloucestershire.
Veterinary Surgeon,"Dartford, Kent",80000,80000,Easipetcare Dartford,"Salary up to £80,000 depending on experience (FTE)",Your work / life balance is our priority. Are you looking for a role that fits with being a parent and offers you hours during term time?
Veterinary Surgeon,"Colchester, Essex",65000,65000,Ark Veterinary Centre,"Salary up to £65,000 depending on experience",Ark Veterinary Centre are seeking an enthusiastic veterinary surgeon to join our team on a permanent basis!
Veterinary Surgeon,"Yeovil, Somerset",74000,74000,Delaware Veterinary Group - Yeovil,"Salary up to £74,000 depending on experience",Ignite your passion for excellence in veterinary care at Delaware! We are looking for a part-time small animal vet to join our team.
Lead Veterinary Surgeon - Finsbury Park,"Finsbury Park, London (Greater)",75000,75000,Medivet,"Salary up to £75,000 per year",Join our friendly and welcoming practice in Finsbury Park! Our team is well established and we have a fantastic reputation in the community!
Veterinary Surgeon - Crowthorne,"Crowthorne, Berkshire",65000,65000,Medivet,"Salary package up to £65,000 dependent on experience","Vet Surgeon - Crowthorne - flexible with working hours, full time salary up to 65k LV has a certificate in exotics"
Veterinary Surgeon,"Liverpool, Merseyside",65000,65000,Adams Vets - Wavertree,"Salary up to £65,000 depending on experience",We are looking for a dedicated Veterinary Surgeon to join the team.
Veterinary Surgeon,"East Grinstead, West Sussex",40000,60000,Portland Vets,"Salary of £40,000 to 60,000 per year, full-time equivalent","We are looking for a vet to work at our East Grinstead full or Part time, flexible working week."
Small Animal/Equine Veterinary Surgeon,"Crewe, Cheshire",75000,75000,Pool Farm Veterinary Surgery,"Salary up to £75,000 depending on experience","Here at Pool Farm Vets, we are looking for a Veterinary Surgeon who enjoys equine work alongside a busy small animal practice."
Veterinary Surgeon,"Malvern, Worcestershire",75000,75000,White House Vets,"Salary up to £75,000 dependent on experience",We have an exciting opportunity for a Veterinary Surgeon to join our small and friendly team.
Veterinary Surgeon,"Buxton, Derbyshire",65000,65000,Overdale Veterinary Practice,"Salary up to £65,000 depending on experience",An exciting opportunity has become available for a mixed discipline Veterinary Surgeon to join us at Overdale Veterinary Practice in Buxton.
Veterinary Surgeon,"Emsworth, Hampshire",65000,65000,Downland Veterinary Group,"Salary up to £65,000 depending on experience",We are looking for a Veterinary Surgeon who is focused on clinical excellence and teamwork to join us at Downland Veterinary Group in Chichester.
Veterinary Surgeon,"Melksham, Wiltshire",75000,75000,The Beeches Veterinary Centre,"Salary up to £75,000 FTE depending on experience","Here at Beeches Veterinary Centre, we are looking for a Veterinary Surgeon to join our team."
Veterinary Surgeon,"Worcester, Worcestershire",75000,75000,Lowesmoor House Veterinary Centre,"Salary up to £75,000 FTE depending on experience","Exciting Opportunity for a Veterinary Surgeon at Lowesmoor House Vets, Worcester!"
Veterinary Surgeon,"Halesowen, West Midlands",70000,70000,Blackheath Veterinary Centre,"Salary up to £70,000 FTE depending on experience","Here at Lockwood Veterinary Group, we are looking for an enthusiastic Veterinary Surgeon to join our team at Blackheath Vets near Halesowen."
Veterinary Surgeon,"Burton-on-Trent, Staffordshire",70000,70000,Burton Vets,"Salary up to £70,000 depending on experience","Here at Lockwood Veterinary Group, we are looking for an experienced and enthusiastic Veterinary Surgeon to join our team at Burton Vets."
Veterinary Surgeon,"Telford, Shropshire",70000,70000,Lockwood Veterinary Group - St George's Veterinary Centre,"Salary up to £70,000 depending on experience",Are you a passionate vet who really cares about their patients and clients and wants to be part of something special?
Veterinary Surgeon,"Coseley, Bilston",70000,70000,Rosewood vets,"Salary up to £70,000 FTE depending on experience","Here at Lockwood Veterinary Group, we are looking for an enthusiastic Veterinary Surgeon to join our team at Rosewood Vets near Wolverhampton."
Veterinary Surgeon,"Willenhall, Walsall",70000,70000,Lockwood Veterinary Group,"Salary up to £70,000 FTE depending on experience",Are you a passionate vet who really cares about their patients and clients and wants to be part of something special?
Veterinary Surgeon,"Colchester, Essex",70000,70000,Paws Colchester Veterinary Centre,"Salary up to £70,000 depending on experience",Paws Veterinary Centre are recruiting for a small animal part-time Veterinary Surgeon who is confident with both consultations and routine surgery.
Veterinary Surgeon,"Sheffield, South Yorkshire",65000,65000,Abbeymoor Veterinary Centres,"Salary up to £65,000 depending on experience",We have an exciting opportunity for a Veterinary Surgeon to join our friendly team at Abbeymoor Vets.
Veterinary Surgeon,Newport (Casnewydd),75000,75000,"Summergrove Vets, Malpas","Salary up to £75,000 depending on experience",We are looking for a Veterinary Surgeon to join our dedicated team at Summergrove Vets (part of Summerhill group).
Veterinary Surgeon,"Shipley, West Yorkshire",75000,75000,Shipley and Idle Veterinary Centres,"Salary up to £75,000 depending on experience","Shipley and Idle Vets are looking for a veterinary surgeon to join our friendly team. We have a varied caseload, and no two days are the same."
Veterinary Surgeon,"Lichfield, Staffordshire",63000,63000,Grange Hill Veterinary Centre,"Salary up to £63,000 dependent on experience plus benefits",We are currently looking for a dedicated veterinary surgeon to join our team.
Veterinary Surgeon,"Newbury, Berkshire",65000,65000,GKG Vets,"Salary up to £65,000 depending on experience",We are looking for a Veterinary Surgeon to join our amazing team here at GKG Vets on either a full time or part time basis.
Veterinary Surgeon,"Stranraer, Dumfries and Galloway",70000,70000,Academy Vet Centre,"Salary up to £70,000 depending on experience",We are a busy mixed practice in the Southwest of Scotland where the grass is green and the sun always shines.
Roving Veterinary Surgeon,"Castle Bromwich, Birmingham",80000,80000,"Oakfield Veterinary Group, Castle Bromwich","Salary up to £80,000 depending on experience, plus benefits",We are looking for an experienced Veterinary Surgeon to work across multiple sites in the Midlands.
Veterinary Surgeon,"Carlisle, Cumbria",65000,65000,Eden Veterinary Centre,"Salary up to £65,000 FTE depending on experience",Eden Veterinary Centre is looking for veterinary surgeon to join their fantastic practice.
Veterinary Surgeon,"Southampton, Hampshire",63000,63000,Hedge End Veterinary Health Centre,"Salary up to £63,000 pro rata, depending on experience",We have an exciting opportunity for a Veterinary Surgeon to work full or part-time with us at our Hedge End Veterinary Health Centre.
Veterinary Surgeon,"Gateshead, Tyne and Wear",72000,72000,Sheriffs Highway Vets,"Salary up to £72,000 depending on experience",Are you an experienced veterinary surgeon eager to take your career to new heights? Look no further!
Veterinary Surgeon,"Macmerry, Tranent",75000,75000,Animals 1st Vets,"Salary up to £75,000 depending on experience",Animals 1st are looking for a part-time Veterinary Surgeon to join their friendly and supportive team in MacMerry.
Veterinary Surgeon,"Retford, Nottinghamshire",63000,63000,"Portland House Vets, Retford","Salary up to £63,000 depending on experience",We are looking for an enthusiastic and experienced small animal veterinary surgeon to work as a permanent member of staff.
Head Veterinary Surgeon,"Rochester, UK",70000,70000,Medway City Veterinary Centre,"Competitive salary up to £70,000 depending on experience","A spot has opened up at Medway City Vets, for a Head Veterinary surgeon to join our team."
Veterinary Surgeon,"Truro, Cornwall",52000,52000,Highertown Veterinary Clinic,"Salary up to £52,000 depending on experience",We are looking for a motivated and enthusiastic veterinary surgeon to join our small but friendly team.
Equine Veterinary Surgeon,"Retford, Nottinghamshire",63000,63000,"Portland House Vets, Retford","Salary of up to £63,000 depending on experience",We are looking for an enthusiastic ambulatory equine veterinary surgeon to work as a permanent member of staff
Veterinary Surgeon,"Castle Bromwich, Birmingham",75000,75000,"Oakfield Veterinary Group, Castle Bromwich","Salary up to £75,000 depending on experience","An exciting opportunity has arisen for a Veterinary Surgeon to join our happy team here at Oakfield Veterinary Group, Castle Bromwich!"
Veterinary Surgeon,"Penarth, The Vale of Glamorgan (Bro Morgannwg)",75000,75000,Dr Doolittle's - Penarth,"Salary up to £75,000 pro rata depending on experience",Doctor Doolittle's Penarth are looking for a dedicated vet to join them as a sole charge veterinary surgeon.
Veterinary Surgeon,"Dewsbury, West Yorkshire",75000,75000,Richmond House Veterinary Centre,"Salary up to £75,000 depending on experience",We are currently looking for a Vet Surgeon to join our hard working team.
Surgical Veterinary Surgeon,"Wombourne, Wolverhampton",63000,63000,The Island Veterinary Associates - Wombourne,"Salary up to £63,000 depending on experience, plus welcome bonus",We are looking for a Veterinary Surgeon with a surgical bias to join our friendly team here at Island Veterinary Associates.
Veterinary Surgeon,"Bognor Regis, West Sussex",65000,65000,"Downland Veterinary Group, Bognor Regis","Salary up to £65,000 depending on experience",We are looking for a Veterinary Surgeon who is focused on clinical excellence and teamwork to join us at Downland Veterinary Group in Bognor Regis.
